comment, author
"Assumptions have not been clearly stated.", Henry Chan
"There should be some tabular presentation of results.", Henry Chan
"Graphs or graphical presentation have/has not been used as expected.", Henry Chan
"The analysis of the results is too trivial in nature and a more detailed analysis was necessary (e.g. no confidence limits have been indicated).", Henry Chan
"Too much has been read into the results and sweeping conclusions have been made, which are not fully justified.", Henry Chan
"Statistical analysis aspects are flawed, e.g. they are incorrect, incomplete or inappropriately applied.", Henry Chan
"There is insufficient discussion of results and it has been wrongly assumed that they speak for themselves.", Henry Chan
"Anomalies are present in results which have not been properly discussed or commented upon.", Henry Chan
"Presentation of results involves excessive repetition and an appendix should have been used for the bulk of the material, once the first example(s) had been shown.", Henry Chan
"Irrelevant material has been included, which does not serve to enhance the presentation of results and/or related analysis.", Henry Chan
